beat_an_opponent,confrontation_win_rate,date,goals,home_and_away,intercept,mark,passes_center,passes_completed_rate,passes_long,passes_number,passes_short,passes_through,possession,score,shot_counterattack,shot_number,shot_on_target,shot_own,shot_placekick,shot_point,shot_positional,turn
1,36,2018-09-29 22:00,0,主,15,6.22,8,65,60,221,153,0,20%,2 : 0,0,4,1,0,2,0,2,第7轮
4,53,2018-08-19 20:30,0,主,16,5.88,12,65,64,238,162,0,23%,6 : 1,0,4,1,0,2,0,2,第2轮
3,53,2018-10-20 22:00,0,主,12,5.92,9,75,61,314,244,0,31%,5 : 0,0,5,0,0,2,0,3,第9轮
6,41,2018-11-04 23:00,1,主,19,5.97,20,79,60,364,283,1,33%,6 : 1,0,13,6,0,3,1,9,第11轮
8,44,2018-09-15 22:00,0,主,13,6.22,11,80,68,416,337,0,35%,3 : 0,0,9,3,0,1,0,8,第5轮
7,56,2018-09-02 00:30,1,主,18,6.57,4,63,62,223,156,1,22%,2 : 1,0,3,2,0,0,0,3,第4轮
9,41,2019-03-10 01:30,1,主,18,6.39,5,70,71,307,231,0,29%,3 : 1,0,2,1,0,2,0,0,第30轮
10,52,2019-04-04 02:45,0,主,14,6.34,6,66,59,192,127,0,21%,2 : 0,0,4,1,0,3,0,1,第33轮
10,47,2019-04-20 19:30,0,主,26,6.45,7,75,62,395,324,2,39%,1 : 0,1,10,4,0,2,0,7,第35轮
8,56,2019-02-28 04:00,0,主,14,6.58,7,69,58,264,199,0,24%,1 : 0,0,2,1,0,0,0,2,第28轮
4,57,2018-11-12 00:30,1,主,18,6.25,11,84,49,395,334,1,35%,3 : 1,0,5,1,0,3,1,1,第12轮
15,23,2019-02-11 00:00,0,主,22,5.81,10,88,33,551,505,3,44%,6 : 0,0,12,4,0,1,0,11,第26轮
10,21,2019-02-04 00:30,1,主,9,6.4,7,78,44,445,393,1,41%,3 : 1,1,4,2,0,1,0,2,第25轮
6,46,2018-12-22 23:00,3,主,23,6.96,2,56,63,217,152,0,22%,2 : 3,0,5,3,0,1,1,3,第18轮
12,38,2018-12-15 20:30,1,主,11,6.35,15,78,55,359,289,0,33%,3 : 1,1,9,2,0,1,0,7,第17轮
9,43,2019-01-15 04:00,0,主,18,6.14,1,67,75,286,208,2,24%,3 : 0,1,2,0,0,0,0,1,第22轮
11,32,2019-01-04 04:00,1,主,18,6.53,13,79,72,602,514,3,50%,2 : 1,0,7,5,0,2,0,5,第21轮
11,66,2019-05-07 03:00,0,主,22,6.65,7,80,74,428,347,0,39%,1 : 0,0,7,2,0,0,0,7,第37轮
